Date : 2025-06-07 10:55:24
Directory : e:\cnc_clone\src
Total : 112 files,  25212 codes, 1053 comments, 2291 blanks, all 28556 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\cnc_clone\src\components\CustomerGuidance\sheet.vue                    | Vue        |         46 |          1 |          5 |         52 |
| e:\cnc_clone\src\components\Footer.vue                                    | Vue        |        202 |         11 |         30 |        243 |
| e:\cnc_clone\src\components\Header.vue                                    | Vue        |        246 |         12 |         38 |        296 |
| e:\cnc_clone\src\components\Home\CompanyNews.vue                          | Vue        |        347 |          6 |         31 |        384 |
| e:\cnc_clone\src\components\Home\CustomerReviews.vue                      | Vue        |        610 |         26 |         58 |        694 |
| e:\cnc_clone\src\components\Home\HomeBanner.vue                           | Vue        |        215 |          6 |         19 |        240 |
| e:\cnc_clone\src\components\Home\LogoDisplay.vue                          | Vue        |        334 |          7 |         45 |        386 |
| e:\cnc_clone\src\components\Home\MaterialSupport.vue                      | Vue        |        363 |          7 |         40 |        410 |
| e:\cnc_clone\src\components\Home\OrderProcess.vue                         | Vue        |        218 |          1 |         33 |        252 |
| e:\cnc_clone\src\components\Home\OurProcessDisplay.vue                    | Vue        |        136 |          3 |         25 |        164 |
| e:\cnc_clone\src\components\Home\ProcessDisplay.vue                       | Vue        |        185 |         22 |         30 |        237 |
| e:\cnc_clone\src\components\Member\FUE.vue                                | Vue        |         45 |          0 |          8 |         53 |
| e:\cnc_clone\src\components\Member\FUF.vue                                | Vue        |         45 |          0 |          8 |         53 |
| e:\cnc_clone\src\components\Member\LeftNav.vue                            | Vue        |        558 |          5 |         37 |        600 |
| e:\cnc_clone\src\components\Member\QuickOrder.vue                         | Vue        |         42 |          1 |          8 |         51 |
| e:\cnc_clone\src\components\Member\Slideshow.vue                          | Vue        |         29 |          0 |          5 |         34 |
| e:\cnc_clone\src\components\Member\TemplateOrder.vue                      | Vue        |         45 |          0 |          8 |         53 |
| e:\cnc_clone\src\components\NavHeader\MaterialsIntroduction.vue           | Vue        |        380 |         35 |         59 |        474 |
| e:\cnc_clone\src\components\NavHeader\NavHeader.vue                       | Vue        |        498 |         57 |         16 |        571 |
| e:\cnc_clone\src\components\NavHeader\SalesPromotion.vue                  | Vue        |        187 |          6 |         31 |        224 |
| e:\cnc_clone\src\components\NavHeader\ServiceGuidance\ServiceGuidance.vue | Vue        |        116 |          6 |         21 |        143 |
| e:\cnc_clone\src\components\NavHeader\ServiceGuidance\TechForum.vue       | Vue        |        143 |          8 |         19 |        170 |
| e:\cnc_clone\src\components\NavHeader\ServiceGuidance\TechnicalColumn.vue | Vue        |        184 |         15 |         29 |        228 |
| e:\cnc_clone\src\components\NavHeader\ServiceGuidance\UserEvaluation.vue  | Vue        |        191 |         10 |         28 |        229 |
| e:\cnc_clone\src\components\Order\PaymentDialog.vue                       | Vue        |         27 |         17 |          6 |         50 |
| e:\cnc_clone\src\components\Order\SubmitOrder.vue                         | Vue        |          4 |          0 |          0 |          4 |
| e:\cnc_clone\src\components\Order\UnifiedPaymentCenter.vue                | Vue        |        217 |         19 |         21 |        257 |
| e:\cnc_clone\src\components\Order\cncOrder.vue                            | Vue        |        419 |         30 |         36 |        485 |
| e:\cnc_clone\src\components\Order\cncPaidOrder.vue                        | Vue        |        268 |         17 |         26 |        311 |
| e:\cnc_clone\src\components\PriceInquiry\AddressEditDialog.vue            | Vue        |        460 |         14 |         50 |        524 |
| e:\cnc_clone\src\components\PriceInquiry\ContactEditDialog.vue            | Vue        |        300 |         10 |         38 |        348 |
| e:\cnc_clone\src\components\PriceInquiry\DeliveryInfo.js                  | JavaScript |      4,914 |          0 |          0 |      4,914 |
| e:\cnc_clone\src\components\PriceInquiry\DeliveryInfo.vue                 | Vue        |        338 |          9 |         39 |        386 |
| e:\cnc_clone\src\components\PriceInquiry\DeliveryMethod.vue               | Vue        |        125 |          0 |         13 |        138 |
| e:\cnc_clone\src\components\PriceInquiry\ExpressInfo.vue                  | Vue        |        458 |         26 |         65 |        549 |
| e:\cnc_clone\src\components\PriceInquiry\InvoiceEditDialog.vue            | Vue        |        636 |         12 |         76 |        724 |
| e:\cnc_clone\src\components\PriceInquiry\InvoiceInfo.vue                  | Vue        |        175 |          3 |         22 |        200 |
| e:\cnc_clone\src\components\PriceInquiry\OrderInfo.vue                    | Vue        |        161 |          2 |         30 |        193 |
| e:\cnc_clone\src\components\PriceInquiry\OtherInfo.vue                    | Vue        |         97 |          1 |         11 |        109 |
| e:\cnc_clone\src\components\PriceInquiry\PackageRequirements.vue          | Vue        |        111 |          0 |         12 |        123 |
| e:\cnc_clone\src\components\PriceInquiry\ReceiptDelivery.vue              | Vue        |        111 |          0 |         11 |        122 |
| e:\cnc_clone\src\components\PriceInquiry\TotalInfo.vue                    | Vue        |        373 |         10 |         33 |        416 |
| e:\cnc_clone\src\components\SignIn\AmountDialog.vue                       | Vue        |         70 |          3 |          8 |         81 |
| e:\cnc_clone\src\components\SignIn\CNC_Logistics.vue                      | Vue        |        285 |         17 |         28 |        330 |
| e:\cnc_clone\src\components\SignIn\CNC_Operation.vue                      | Vue        |        292 |         17 |         28 |        337 |
| e:\cnc_clone\src\components\SignIn\DataDashboard.vue                      | Vue        |        526 |         19 |         68 |        613 |
| e:\cnc_clone\src\components\SignIn\Login.vue                              | Vue        |        212 |         24 |         35 |        271 |
| e:\cnc_clone\src\components\SignIn\LogisticsInfo.vue                      | Vue        |         15 |          0 |          3 |         18 |
| e:\cnc_clone\src\components\SignIn\ModelInfoDialog.vue                    | Vue        |         85 |          3 |         12 |        100 |
| e:\cnc_clone\src\components\SignIn\OrderInfo.vue                          | Vue        |        299 |         18 |         25 |        342 |
| e:\cnc_clone\src\components\SignIn\PartAuditInfo.vue                      | Vue        |        274 |         19 |         32 |        325 |
| e:\cnc_clone\src\components\SignIn\ShippingDialog.vue                     | Vue        |        184 |         16 |         26 |        226 |
| e:\cnc_clone\src\components\SignIn\UserInfo.vue                           | Vue        |         15 |          0 |          3 |         18 |
| e:\cnc_clone\src\components\SignIn\eventBus.js                            | JavaScript |          3 |          0 |          0 |          3 |
| e:\cnc_clone\src\components\SignUp\Register.vue                           | Vue        |        202 |         15 |         33 |        250 |
| e:\cnc_clone\src\components\common\CountDown.vue                          | Vue        |        101 |         14 |         16 |        131 |
| e:\cnc_clone\src\components\common\QrCode.vue                             | Vue        |        214 |          7 |         40 |        261 |
| e:\cnc_clone\src\components\quote\AutomationTool.js                       | JavaScript |      1,475 |          8 |         11 |      1,494 |
| e:\cnc_clone\src\components\quote\FileList.vue                            | Vue        |        481 |         26 |         54 |        561 |
| e:\cnc_clone\src\components\quote\FileUploader.vue                        | Vue        |        172 |         12 |         23 |        207 |
| e:\cnc_clone\src\components\quote\HistoryList.vue                         | Vue        |        231 |         15 |         30 |        276 |
| e:\cnc_clone\src\components\quote\ParameterInfo.vue                       | Vue        |      1,215 |         56 |        110 |      1,381 |
| e:\cnc_clone\src\components\quote\processList.js                          | JavaScript |         65 |          0 |          1 |         66 |
| e:\cnc_clone\src\directives\index.js                                      | JavaScript |          0 |          0 |          1 |          1 |
| e:\cnc_clone\src\main.js                                                  | JavaScript |         38 |         23 |         15 |         76 |
| e:\cnc_clone\src\router\index.js                                          | JavaScript |        171 |         29 |         12 |        212 |
| e:\cnc_clone\src\store\PriceInquiryDatas.js                               | JavaScript |         19 |          0 |          1 |         20 |
| e:\cnc_clone\src\store\UnifiedPaymentDatas.js                             | JavaScript |         21 |          2 |          5 |         28 |
| e:\cnc_clone\src\store\index.js                                           | JavaScript |          3 |          0 |          2 |          5 |
| e:\cnc_clone\src\store\modules\auth.js                                    | JavaScript |        161 |         20 |         25 |        206 |
| e:\cnc_clone\src\store\modules\contact.js                                 | JavaScript |         28 |          1 |          4 |         33 |
| e:\cnc_clone\src\store\modules\news.js                                    | JavaScript |         36 |          3 |          5 |         44 |
| e:\cnc_clone\src\store\modules\site.js                                    | JavaScript |         60 |          2 |          6 |         68 |
| e:\cnc_clone\src\store\user.js                                            | JavaScript |         34 |          3 |          6 |         43 |
| e:\cnc_clone\src\utils\analytics.js                                       | JavaScript |         34 |          4 |          3 |         41 |
| e:\cnc_clone\src\utils\request.js                                         | JavaScript |         41 |          4 |          7 |         52 |
| e:\cnc_clone\src\views\Admin\Admin.vue                                    | Vue        |        129 |         11 |         16 |        156 |
| e:\cnc_clone\src\views\Home\Home.vue                                      | Vue        |         35 |          8 |          8 |         51 |
| e:\cnc_clone\src\views\Members\Members.vue                                | Vue        |         29 |          0 |          3 |         32 |
| e:\cnc_clone\src\views\NavHeader\About\About.vue                          | Vue        |        329 |          5 |         38 |        372 |
| e:\cnc_clone\src\views\NavHeader\About\News.vue                           | Vue        |        388 |         19 |         41 |        448 |
| e:\cnc_clone\src\views\NavHeader\Contact\Contact.vue                      | Vue        |        512 |         15 |         68 |        595 |
| e:\cnc_clone\src\views\NavHeader\CustomerGuidance\CustomerGuidance.vue    | Vue        |        113 |          4 |         18 |        135 |
| e:\cnc_clone\src\views\NavHeader\MaterialDetail.vue                       | Vue        |        177 |          6 |         24 |        207 |
| e:\cnc_clone\src\views\NotFound.vue                                       | Vue        |         99 |          0 |         17 |        116 |
| e:\cnc_clone\src\views\Order\OnlineQuote.vue                              | Vue        |        211 |          7 |         23 |        241 |
| e:\cnc_clone\src\views\Order\PriceInquiry.vue                             | Vue        |         72 |         10 |         14 |         96 |
| e:\cnc_clone\src\views\Order\SubmitOrder.vue                              | Vue        |        180 |          7 |         31 |        218 |
| e:\cnc_clone\src\views\Profile\Profile.vue                                | Vue        |        259 |          6 |         36 |        301 |
| e:\cnc_clone\src\views\auth\RegisterView.vue                              | Vue        |        132 |         11 |         26 |        169 |
| Total                                                                     |            |     25,212 |      1,053 |      2,291 |     28,556 |
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+
